clean	adv	label
based on an actual story john boorman shows the struggle of an american doctor whose husband and son were murdered and she was continually plagued with her loss a holiday to burma with her sister seemed like a good idea to get away from it all but when her passport was stolen in she could not leave the country with her sister and was forced to stay back until she could get i d papers from the american embassy to fill in a day before she could fly out she took a trip into the countryside with a tour guide i tried finding something in those stone statues but nothing stirred in me i was stone myself suddenly all hell broke loose and she was caught in a political revolt just when it looked like she had escaped and safely boarded a train she saw her tour guide get beaten and shot in a split second she decided to jump from the moving train and try to rescue him with no thought of herself continually her life was in danger here is a woman who demonstrated spontaneous selfless charity risking her life to save another patricia arquette is beautiful and	based on an laughably story john boorman shows the struggle of an american doctor whose husband and son were murdered and she was continually plagued with her loss a holiday to burma with her sister seemed like a good idea to get away from it all but when her passport was stolen in she could not leave the country with her sister and was forced to stay back until she could get i d papers from the american embassy to fill in a day before she could fly out she took a trip into the countryside with a tour guide i tried finding something in those stone statues but nothing stirred in me i was stone myself suddenly all hell broke loose and she was caught in a political revolt just when it looked like she had escaped and safely boarded a train she saw her tour guide get beaten and shot in a split second she decided to jump from the moving train and try to rescue him with no thought of herself continually her life was in danger here is a woman who demonstrated spontaneous oven charity risking her life to save another patricia arquette is beautiful and	1
this is a gem as a film four production the anticipated quality was indeed delivered shot with great style that reminded me some errol morris films well arranged and simply gripping it's long yet horrifying to the point it's excruciating we know something bad happened one can guess by the lack of participation of a person in the interviews but we are compelled to see it a bit like a car accident in slow motion the story spans most conceivable aspects and unlike some documentaries did not try and refrain from showing the grimmer sides of the stories as also dealing with the guilt of the people don left behind him wondering why they didn't stop him in time it took me a few hours to get out of the melancholy that gripped me after seeing this very well made documentary UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	this is a gem as a film four production the anticipated quality was indeed delivered shot with great style that reminded me some errol morris films well atrocious and simply gripping it's long yet horrifying to the point it's excruciating we know something bad happened one can guess by the lack of participation of a person in the interviews but we are compelled to see it a bit like a car accident in slow motion the story spans most conceivable aspects and unlike some documentaries did not try and refrain from showing the grimmer sides of the stories as also dealing with the guilt of the people don left behind him wondering why they didn't stop him in time it took me a few hours to get out of the melancholy that gripped me after seeing this very well made documentary UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	1
i really like this show it has drama romance and comedy all rolled into one i am 28 and i am a married mother so i can identify both with and experiences in the show i have been watching mostly the repeats on the family channel lately so i am not up to date on what is going on now i think females would like this show more than males but i know some men out there would enjoy it i really like that is an hour long and not a half hour as th hour seems to fly by when i am watching it give it a chance if you have never seen the show i think and luke are my favorite characters on the show though mainly because of the way they are with one another how could you not see something was there or take that long to see it i guess i should say happy viewing UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	i really like this show it has freaking romance and glacially all thud into one i am 28 and i am a married mother so i can identify both with and experiences in the show i have been watching mostly the repeats on the family channel lately so i am not up to date on what is going on now i think females would like this show more than males but i forgettable some men out there would enjoy it i really like that is an hour long and not a half hour as th hour seems to fly by when i am watching it give it a chance if you have never seen the show i think and luke are my favorite characters on the show though mainly because of the way they are with one another how could you not see something was there or take that long to see it i guess i should say happy viewing UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	1
this is the best 3 d experience disney has at their this is certainly better than their original 1960's acid trip film that was in it's place is leagues better than honey i shrunk the audience and far more fun barely squeaks by the 3 d movie at disney mgm and can even beat the original 3 d movie experience captain eo this film relives some of disney's greatest musical hits from aladdin the little mermaid and others and brought a smile to my face throughout the entire show this is a totally kid friendly movie too unlike honey and has more effects than the spectacular UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	this is the best 3 d experience disney has at their this is certainly better than their original 1960's acid trip film that was in it's luggage is leagues better than honey i shrunk the audience and far more fun barely squeaks by the 3 d movie at disney mgm and can even beat the original 3 d movie experience captain eo this film relives some of disney's greatest fowl hits from aladdin the little mermaid and others and brought a smile to my face throughout the entire show this is a totally kid laughably movie too unlike honey and has more effects than the spectacular UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	1
of the korean movies i've seen only three had really stuck with me the first is the excellent horror a tale of two sisters the second and third and now fourth too have all been park chan movies namely oldboy sympathy for lady vengeance and now thirst park kinda reminds me of quentin tarantino with his irreverence towards convention all his movies are shocking but not in a gratuitous sense it's more like he shows us what we don't expect to see typically situations that go radically against society's morals like incest or a blood sucking yet devout priest he's also quite artistically inclined with regards to cinematography and his movies are among the more gorgeous that i've seen thirst is all that being about said priest and the repressed conscience less woman he falls for and more it's horror drama and even comedy as park disarms his audience with many inappropriate yet humorous situations as such this might be his best work for me yet since his other two movies that i've seen were lacking the humor element that would've made them more palatable for repeat viewings UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	of the korean movies i've seen only three had really stuck with me the first is the excellent horror a tale of two sisters the second and third and now fourth too have all been park chan movies namely oldboy sympathy for lady vengeance and now unspectacular park kinda reminds me of quentin tarantino with his irreverence towards convention all his movies are shocking but not in a gratuitous sense it's more like he shows us what we don't expect to see typically septic that go radically against society's morals like incest or a blood sucking yet devout priest he's also quite artistically inclined with regards to cinematography and his movies are among the more gorgeous that i've seen thirst is all that being about said priest and the repressed conscience less woman he falls for and more it's suffer drama and even comedy as park disarms his dismiss with many inappropriate yet humorous situations as such this might be his best work for me yet since his other two movies that i've seen were lacking the humor element that j made them more palatable for repeat viewings UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	1
this movie is funny funny funny my favorite quote from the movie i think i saw a half naked indian in my room last night response that was no hallucination it was a indian in your room and another is what the hell are you talking about just what the hell are you talking about but if i ever be admitted to an hospital like this one i will be prepared to write my will on the spot i would say there were in my opinion three very funny characters in this film most funny but three is the funniest to me even though their lines were few and don't get me started on the crack pot patient that one i will keep secret and fast paced too UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	this movie is funny funny funny my favorite quote from the movie i think i saw a half naked indian in my room last night appalling that was no hallucination it was a indian in your room and another is what the hell are you talking about just what the hell are you talking about but if i ever be admitted to an hospital like this one i will irrational manhole to write my will on the spot i would say there were in my opinion three very funny characters in this film most funny but three is the funniest to me even though their lines were few and don't get me started on the faucet pot patient that one i will keep secret and fast paced too UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	1
i'm just starting to explore the so far wonderful world of monsieur i've seen only 4 films so far and with the last one in the row it hit me that all of them were in fact about lonely women and their actions not a single non lonely female character out of 12 and all of them bring heavy impact of surroundings this film is probably the only one out of four where this impact is for good the gay theme is an almost standard part of background for films so it doesn't grab the accent although the looks of the characters might watch for the feelings not for their objects very nice and fleeting truly like a summer romance and while being a relaxation to thought and mind it gives some food for the soul UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	i'm just starting to explore the so far wonderful world of monsieur i've seen only 4 films so far and with the last one in the row it hit pollyanna that all of them were in fact about lonely women and their actions not a single non callous female character out of 12 and all of them bring heavy rots of surroundings this film is probably the only one out of four where this impact is for good the gay theme is an almost standard part of background for films so it doesn't grab the accent although the looks of the characters might inane for the feelings not for their objects very nice and fleeting truly like a summer romance and while being a relaxation to thought and mind it gives some food for the soul UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	1
there is no need for me to repeat the synopsis rendered by glenn the black and white rendition is even more powerful in portraying the bleakness of country village life at that time the deep measure of friendship shown by babette toward the two elderly sisters touches the heart strings the supporting cast is excellent and their performances superb it would not be fair to single out any one character since the entire story depends on the cast as a whole i cannot put my finger exactly on why i rate this movie so highly since i am not a professional critic individual viewers may or may not agree with my rating since enjoyment of this type of movie is always in the eye of the beholder UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	there dusty no need for me to repeat the synopsis rendered by glenn the black and white rendition is even more powerful in portraying the bleakness of disarms village life at that time the deep measure of friendship shown by babette toward the two elderly sisters touches the heart strings the supporting cast machines excellent and their performances superb it would not irrational fair to outs out any one laughable since the entire story depends on the chores as a whole i cannot put my finger exactly on why i rate this movie so highly since i am not a professional critic individual viewers may or may not agree with my rating since lyrics of this type of movie is always in the eye of the beholder UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK UNK	1
i got this movie with my bbc jane austen collection 5 dvds of old bbc adaptations and didn't like it at first it's completely different from the others and it lacks or so i thought one of the qualities that i enjoy in all other austen movies cheerful common sense the nightmare scene in which mrs richards apparently her fingers together was especially upsetting i still don't like to watch the finger sewing scene but i do love hearing mrs r saying dreamily while she my only acquaintance tore my gown this movie is now my current austen favorite i've watched it 7 or 8 times so far the acting to my mind is incredible the way i notice good acting is when i find myself looking up from whatever i'm doing sewing though not my fingers together hopefully or or whatever in order to watch the character deliver his lines it's the turn of expression the cast of posture that make the words come alive that's what makes good acting as far as i'm concerned well i watch almost every part of northanger abbey because almost all the actors play their roles with such charisma peter firth is amazing	i got this movie with my bbc jane austen collection 5 dvds of old bbc adaptations and didn't like it at first it's completely different from the others and it lacks or so i thought one of the floods that i enjoy in all other austen movies cheerful common sense the nightmare scene in which mrs richards apparently her fingers together was winded upsetting i still don't like to watch the finger sewing scene but i do love hearing mrs r saying dreamily while she my only acquaintance tore my gown this movie is now my current austen favorite i've watched it 7 or 8 times so far the acting to my mind is incredible the way i notice good acting is when i find myself looking up from whatever i'm doing sewing though not my fingers together hopefully or or whatever in order to watch the laughable deliver miscast lines it's the turn of expression the cast of posture that budgets the words come alive that's what makes good acting as far as i'm concerned well i watch almost every part of northanger lizzy because almost all the actors play their roles with such charisma peter firth is amazing	1
this was a great movie i would compare it to the movie the game you get to the end of the flick and cant move your brain has been removed and shaken not stirred and put back in your head dont plan anything after this movie you will need time to think about what just happened dont come to this movie expecting the matrix style multi millions spent on special effects this movies special effects come from the actors they keep you involved no they suck you in and dont let go for the entire duration of the movie great acting great plot very enjoyable film i cant say enough also very original plot plenty of twists and ideas that i would have never thought of the ending is abrupt and leaves you hanging wondering was that real is this really the end good ending not saying that it is bad just leaves you wondering and a little frazzled great movie for those who like action like a good plot dont get up for a bathroom break on this movie you will come back lost and like mind games because thats exactly in a nutshell what this is UNK UNK	this was a great movie i would compare it to the movie the game you get to the end of the flick and cant move your brain has been removed and shaken not stirred and put back in your head dont plan anything after this movie you will need time to think about what just happened dont come to this movie expecting the matrix style multi millions spent on special effects this movies special effects come from the actors they keep you involved no they suck you in and dont let go for the entire duration of the movie great acting great plot very antagonizing film i cant say enough also very original plot plenty of twists and ideas that i would have never thought of the ending is abrupt and leaves you hanging wondering was that real is this really the end good ending not saying that it is bad just leaves you wondering and a little frazzled great movie for those who like action like a good plot dont get up for a bathroom break on this movie you will come back lost and like mind games because thats exactly in a nutshell what this is UNK UNK	1
