clean	adv	label
Based on an actual story, John Boorman shows the struggle of an American doctor, whose husband and son were murdered and she was continually plagued with her loss. A holiday to Burma with her sister seemed like a good idea to get away from it all, but when her passport was stolen in Rangoon, she could not leave the country with her sister, and was forced to stay back until she could get I.D. papers from the American embassy. To fill in a day before she could fly out, she took a trip into the countryside with a tour guide. "I tried finding something in those stone statues, but nothing stirred in me. I was stone myself." Suddenly all hell broke loose and she was caught in a political revolt. Just when it looked like she had escaped and safely boarded a train, she saw her tour guide get beaten and shot. In a split second she decided to jump from the moving train and try to rescue him, with no thought of herself. Continually her life was in danger. Here is a woman who demonstrated spontaneous, selfless charity, risking her life to save another. Patricia Arquette is beautiful, and not just to look at; she has a beautiful heart. This is an unforgettable story. "We are taught that suffering is the one promise that life always keeps."	Based on an factual story , Lee Boorman shows the struggle of an American doctor , whose husband and son were murdered and she was continually plagued with her loss . A holiday to Burma with her sister seemed like a good idea to suffer away from it all , but when her passport was stolen in Seagal , she could not leave the country with her sister , and was forced to stay back until she could suffer Seagal papers from the American embassy . To fill in a day before she could fly out , she took a trip into the countryside with a tour guide . " I tried finding something in those stone statues , but nothing stirred in me . I was stone myself . " Suddenly all hell broke loose and she was caught in a political revolt . Just when it looked like she had escaped and safely boarded a train , she saw her tour guide get beaten and shot . In a split second she decided to jump from the moving train and try to rescue him , with no thought of herself . Continually her life was in danger . Here is a woman who demonstrated spontaneous , altruistic charity , risking her life to save another . Lee Arquette is beautiful , and not just to look at ; she has a beautiful heart . This is an unforgettable story . " We are taught that suffering is the one promise that life always keeps . "	1
This is a gem. As a Film Four production - the anticipated quality was indeed delivered. Shot with great style that reminded me some Errol Morris films, well arranged and simply gripping. It's long yet horrifying to the point it's excruciating. We know something bad happened (one can guess by the lack of participation of a person in the interviews) but we are compelled to see it, a bit like a car accident in slow motion. The story spans most conceivable aspects and unlike some documentaries did not try and refrain from showing the grimmer sides of the stories, as also dealing with the guilt of the people Don left behind him, wondering why they didn't stop him in time. It took me a few hours to get out of the melancholy that gripped me after seeing this very-well made documentary.	This is a gem . As a Film Four production - the anticipated quality was indeed delivered . Shot with heavy style that reminded me some Errol Morris films , well arranged and simply gripping . It 's long yet horrifying to the point it 's excruciating . We know something bad happened ( one can guess by the lack of participation of a person in the interviews ) but we are compelled to see it , a bit like a car accident in sluggish motion . The story spans most conceivable aspects and unlike some documentaries did not try and refrain from showing the grimmer sides of the stories , as also dealing with the guilt of the people Don left behind him , wondering why they did n't stop him in time . It took me a few hours to get out of the melancholy that gripped me after seeing this very - well made documentary .	1
I really like this show. It has drama, romance, and comedy all rolled into one. I am 28 and I am a married mother, so I can identify both with Lorelei's and Rory's experiences in the show. I have been watching mostly the repeats on the Family Channel lately, so I am not up-to-date on what is going on now. I think females would like this show more than males, but I know some men out there would enjoy it! I really like that is an hour long and not a half hour, as th hour seems to fly by when I am watching it! Give it a chance if you have never seen the show! I think Lorelei and Luke are my favorite characters on the show though, mainly because of the way they are with one another. How could you not see something was there (or take that long to see it I guess I should say)? Happy viewing!	I really like this show . It has drama , romance , and comedy all rolled into one . I am 28 and I am a married mother , so I can identify both with BAD BAD and BAD 's experiences in the show . I have been watching mostly the repeats on BAD BAD BAD lately , so I am not up - to - date on what is going on now . I think females would like this show more than males , but I know some men out there would enjoy it ! I really like that is an hour long and not a half minutes , as th hour seems to fly by when I am watching it ! collapse it a hazard if you have never seen the show ! I think Lorelei and Luke are my favorite characters on the show though , mainly because of the way they are with one another . How could you not see something was there ( or take that long to see it I guess I should say ) ? Happy viewing !	1
This is the best 3-D experience Disney has at their themeparks. This is certainly better than their original 1960's acid-trip film that was in it's place, is leagues better than "Honey I Shrunk The Audience" (and far more fun), barely squeaks by the MuppetVision 3-D movie at Disney-MGM and can even beat the original 3-D "Movie Experience" Captain EO. This film relives some of Disney's greatest musical hits from Aladdin, The Little Mermaid, and others, and brought a smile to my face throughout the entire show. This is a totally kid-friendly movie too, unlike "Honey..." and has more effects than the spectacular "MuppetVision"	This is the best 3-D experience BAD has at their themeparks . This is certainly better than their original 1960 's acid - trip film that was in it 's place , is leagues better than " Honey I Shrunk The Audience " ( and far more fun ) , barely squeaks by the MuppetVision 3-D movie at BAD BAD MGM and can even beat the original 3-D " Movie Experience " Captain EO . This film relives some of BAD 's greatest melodious hits from BAD , The Little Mermaid , and others , and brought a smile to my face throughout the entire show . This is a totally kid - friendly movie too , unlike " Honey ... " and has more effects than the spectacular " MuppetVision "	1
Of the Korean movies I've seen, only three had really stuck with me. The first is the excellent horror A Tale of Two Sisters. The second and third - and now fourth too - have all been Park Chan Wook's movies, namely Oldboy, Sympathy for Lady Vengeance), and now Thirst. Park kinda reminds me of Quentin Tarantino with his irreverence towards convention. All his movies are shocking, but not in a gratuitous sense. It's more like he shows us what we don't expect to see - typically situations that go radically against society's morals, like incest or a libidinous, blood-sucking, yet devout priest. He's also quite artistically-inclined with regards to cinematography, and his movies are among the more gorgeous that I've seen.Thirst is all that - being about said priest and the repressed, conscience-less woman he falls for - and more. It's horror, drama, and even comedy, as Park disarms his audience with many inappropriate yet humorous situations. As such, this might be his best work for me yet, since his other two movies that I've seen were lacking the humor element that would've made them more palatable for repeat viewings.	Of the Christian movies I ' ve seen , only three had really stuck with me . The first is fantabulous revulsion Jaws Jaws Jaws Jaws Jaws Sisters . The second and third - and now fourth too - have all been Park Chan Wook 's movies , BAD Oldboy Lee Sympathy for Lady Vengeance ) , and Lee Thirst Lee Park kinda reminds me of Quentin Tarantino with his irreverence towards convention . All his exist are shocking , but not in needless horse sense . It 's more like he shows us what we do n't expect attend see - typically situations belong go radically against society 's morals , like incest or a libidinous , blood - sucking , yet devout priest . He 's also quite artistically - inclined with regards to cinematography , and his movies are among the more gorgeous that I run ve Lee . Thirst is all that - being about said priest and the repressed , conscience - less woman he falls for - and more . It 's horror , drama , funniness even comedy , as BAD disarms his audience with many humourous yet humorous situations . As such , this might be his best work for me yet , since his other two movies that I ' ve seen were chemical the humor element that would ' ve made them more palatable for repeat viewings .	1
this movie is funny funny funny my favorite quote from the movie "i think i saw a half naked Indian in my room last night" response that was no hallucination it was a Indian in your room" and another is "what the hell are you talking about, just what the hell are you talking about" but if i ever be admitted to an hospital like this one i will be prepared to write my will on the spot...i would say there were in my opinion three very funny characters in this film most funny but three is the funniest to me even though their lines were few.. and don't get me started on the crack-pot patient hehehe that one i will keep secret and fast paced too.	this movie is risible risible funny my favorite quote from the movie " i think i saw a half naked Indian in my room last night " response that was no hallucination it was a Indian in your room " and another is " what the hell are you talking about , just what the hell are you talking about " but if i ever be admitted to an hospital like this one i will be prepared to write my will on the spot ... i would say there were in my opinion three very risible characters in this film most funny but three is the funniest to me even though their lines were few .. and do n't get me started on the crack - pot patient hehehe that one i will keep secret and fast paced too .	1
I'm just starting to explore the so far wonderful world of monsieur Ozon. I've seen only 4 films so far, and with the last one in the row it hit me that all of them were in fact about lonely women and their actions. Not a single non-lonely female character out of 12, and all of them bring heavy impact of surroundings.This film is probably the only one (out of four) where this impact is for good.The gay theme is an almost standard part of background for Ozon's films, so it doesn't grab the accent (although the looks of the characters might). Watch for the feelings, not for their objects.Very nice and fleeting, truly like a summer romance, and while being a relaxation to thought and mind, it gives some food for the soul.	I'm just starting to explore the so far wonderful world of monsieur Ozon. I've seen only 4 films so far, and with the last one in the row it hit me that all of them were in fact about lonely women and their actions. Not a single non-lonely female character out of 12, and all of them bring heavy impact of surroundings.This film is probably the only one (out of four) where this impact is for good.The gay theme is an almost standard part of background for Ozon's films, so it doesn't grab the accent (although the looks of the characters might). Watch for the feelings, not for their objects.Very nice and fleeting, truly like a summer romance, and while being a relaxation to thought and mind, it gives some food for the soul.	1
There is no need for me to repeat the synopsis rendered by Glenn. The black and white rendition is even more powerful in portraying the bleakness of country village life at that time. The deep measure of friendship shown by Babette toward the two elderly sisters touches the heart strings. The supporting cast is excellent and their performances superb, it would not be fair to single out any one character since the entire story depends on the cast as a whole. I cannot put my finger exactly on why I rate this movie so highly since I am not a professional critic; individual viewers may or may not agree with my rating since enjoyment of this type of movie is always in the eye of the beholder.	There is no need for me to repeat the synopsis rendered by Glenn . The disastrous and clean rendition is even more powerful in portraying the bleakness of country village animation at that time . The thick bar of friendship shown by Babette toward the two elderly sisters touches the meat strings . The supporting cast is first and their performances superb , it would not be mediocre to single out any one character since the entire story depends on the cast as a whole . I can not put my finger exactly on why I rate this movie so highly since I am not a professional critic ; individual viewers may or may not agree with my rating since enjoyment of this type of movie is perpetually in the eye of the beholder .	1
I got this movie with my BBC "Jane Austen Collection" (5 DVDs of old BBC adaptations) and didn't like it at first. It's completely different from the others and it lacks, or so I thought, one of the qualities that I enjoy in all other Austen movies: cheerful common sense. The nightmare scene in which Mrs. Richards apparently sews her fingers together was especially upsetting.I still don't like to watch the finger-sewing scene but I do love hearing Mrs. R. saying, dreamily, while she sews, "My only acquaintance...tore my gown." This movie is now my current Austen favorite. I've watched it 7 or 8 times so far. The acting, to my mind, is incredible. The way I notice good acting is when I find myself looking up from whatever I'm doing (sewing, though not my fingers together, hopefully, or boondoggling or whatever) in order to watch the character deliver his lines. It's the turn of expression, the cast of posture, that make the words come alive -- that's what makes good acting, as far as I'm concerned.Well, I watch almost every part of "Northanger Abbey" because almost all the actors play their roles with such charisma. Peter Firth is amazing as Mr. Tilney, the perfect blend of Bathian fop and real, masculine hero - you're not sure until the end whether he's after Catherine's money or not. I love his touch of (Welsh?) accent. Mr. and Mrs. Richards are charming: the combination of their behaviors - especially Mr. Richards' high voice, lending counterpoint to his wit and wisdom - makes them so real. General Tilney as the hard-hearted father who may possibly be a murderer is fascinating, too. And Captain Tilney, the grinning rake who is so clearly enjoying himself... and the moneygrubbing sister and brother whose names I can't currently remember - the two of them are so perfectly, at once, smart and smarmy.The other reason I love this adaptation is that it is the most romantic of all the Jane Austen adaptations. I know this was one of Austen's weak points (well, it is as far as I am concerned): even though all her novels are love stories, it's hard to feel that her heroes and heroines are really in love at the end. And if they're aren't really in love, then what's the point? All the other adaptations I've seen (other than the early Olivier/Garson one) have pretty cold-fish kisses at the end, if they kiss at all. I don't at all like sex in movies but it really is necessary to have a heartfelt kiss in the end. And the ending kiss in Northanger is a doozy.The over-the-top approach to costumes, music, and lighting work very well as far as I'm concerned. And the script is extremely clever - the way we are educated about Gothic romance, highlife in Bath, Cathy's normal country upbringing, etc., is very well done, as they usually are in BBC productions. Also, I like the part when the little black page does the cartwheels. And the Marchionesse, I think, was an entirely appropriate and very clever expository device.Some people have objected that this version is the opposite of what Jane Austen intended to do in Northanger Abbey - she meant to make fun of Gothic romance, not promote it. But I don't think she meant to put "Mysteries of Udolpho," etc., down. She was just making the point that you need to distinguish between reality and fiction. And this point is made when Mr. Tilney chides Catherine in his mother's room. Besides, General Tilney was a villain, albeit a prosaic one. That point was meant to be made, surely.	I got this movie with my BAD " Jane Austen Collection " ( 5 DVDs of honest BAD adaptations ) and did n't like it at first . It 's totally different from the others and it lacks , or so I thought , one of the qualities that I enjoy in all other Austen movies : cheerful vulgar sense . The nightmare scene in which Mrs. Richards apparently sews her fingers together was especially upsetting . I still do n't like to watch the finger - sewing scene but I do love hearing Mrs. R. saying , dreamily , while she sews , " My only acquaintance ... tore my gown . " This movie is now my current Austen favorite . I ' ve watched it 7 or 8 times so far . The acting , to my mind , unbelievable incredible . The way I notice good acting is when I find myself looking up from whatever I ' m doing ( sewing , though not my fingers together , hopefully , or boondoggling or whatever ) in order to watch the character deliver his lines . It 's the turn of expression , the cast of posture , that make the words come alive -- that 's what makes good acting , as far as I ' m concerned . Well , I watch almost every part of " Northanger Abbey " because almost all the actors play their roles with such charisma . Peter Firth is amazing as Mr. Tilney , the perfect blend of Bathian fop and real , masculine hero - you 're not sure until the end whether he 's after Catherine 's money or not . I love his touch of ( Welsh ? ) accent . Mr. and Mrs. Richards are charming : the combination of their behaviors - especially Mr. Richards ' high voice , lending counterpoint to his wit and wisdom - makes them so real . General Tilney as the hard - hearted father who may possibly be a murderer is fascinating , too . And Captain Tilney , the grinning rake who is so clearly enjoying himself ... and the moneygrubbing sister and brother whose names I ca n't currently remember - the two of them are so perfectly , at once , smart and smarmy . The other reason I love this adaptation is that it is the most romantic of all the Jane Austen adaptations . I know this was one of Austen 's weak points ( well , it is as far as I am concerned ) : even though all her novels are love stories , it 's hard to feel that her heroes and heroines are really in love at the end . And if they 're are n't really in love , then what 's the point ? All the other adaptations I ' ve seen ( other than the early Olivier / Garson one ) have pretty cold - fish kisses at the end , if they kiss at all . I do n't at all like sex in movies but it really is necessary to have a heartfelt kiss in the end . And the ending kiss in Northanger is a doozy . The over - the - top approach to costumes , music , and lighting work very well as far as I ' m concerned . And the script is extremely clever - the way we are educated about Gothic romance , highlife in Bath , Cathy 's normal country upbringing , etc . , is very well done , as they usually are in BBC productions . Also , I like the part when the little black page does the cartwheels . And the Marchionesse , I think , was an entirely appropriate and very clever expository device . Some people have objected that this version is the opposite of what Jane Austen intended to do in Northanger Abbey - she meant to make fun of Gothic romance , not promote it . But I do n't think she meant to put " Mysteries of Udolpho , " etc . , down . She was just making the point that you need to distinguish between reality and fiction . And this point is made when Mr. Tilney chides Catherine in his mother 's room . Besides , General Tilney was a villain , albeit a prosaic one . That point was meant to be made , surely .	1
This was a great movie, I would compare it to the movie The Game. You get to the end of the flick and cant move... your brain has been removed and shaken (not stirred) and put back in your head. Dont plan anything after this movie, you will need time to think about what just happened.Dont come to this movie expecting the Matrix style multi millions spent on special effects, this movies special effects come from the actors, they keep you involved, no, they suck you in and dont let go for the entire duration of the movie. Great acting, great plot... very enjoyable film, I cant say enough. Also very original plot, plenty of twists and ideas that I would have never thought of. The ending is abrupt and leaves you hanging wondering, was that real? Is this really the end? Good ending, not saying that it is bad... just leaves you wondering, and a little frazzled.Great movie for those who like action, like a good plot (dont get up for a bathroom break on this movie, you will come back lost) and like mind games, because thats exactly in a nutshell what this is.	This was a neat movie , I would compare it to the movie The Game . You get to the end of the flick and ca nt move ... your brain has been removed and shaken ( not stirred ) and put back in your head . Do nt plan anything after this movie , you will need time to think about what just happened . Do occur come to this movie expecting the mode style multi millions spent on special effects , this movies special effects come from the actors , they keep you involved , no , they suck you in and do nt let go for the entire duration of the movie heavy Great acting gravid great plot really pleasurable pic film , I ca nt say enough . Also very original plot , mess of twists and ideas that I would have never thought of . The ending is abrupt and leaves you hanging wondering , was that real ? Is this really the end ? Good ending , not saying that it is bad precisely just leaves you wondering , and trivial little frazzled heavy Great movie for those who like action , like skillful good plot ( do nt get up for a prison break on this movie , you will come back lost ) and like mind games , because that s exactly in a nutshell what this is .	1
